"OBJECTID_1","OBJECTID","SchoolID","County","SchoolName","Address","City","State","Zipcode","Website","SchoolType","coords.x1","coords.x2"
386,386,138123,"Henderson","North Carolina Christian Academy","425 Linda Vista Drive","Hendersonville","NC",28792,NA,"Religious",295842.704720106,181618.25958587
387,387,116602,"Henderson","Safe Harbor Christian Academy","182 Kingdom Place","Zirconia","NC",28790,NA,"Independent",297196.128595711,166125.462357813
388,388,72625,"Henderson","Talisman Academy","2075 N. Rugby Rd.","Hendersonville","NC",28791,"www.talismanacademy.com","Independent",289856.824841676,188246.686337497
389,389,131566,"Henderson","Talisman Semesters School","64 Gap Creek Rd.","Zirconia","NC",28790,NA,"Independent",297154.93078843,164313.767942578
390,390,133880,"Henderson","The Way Christian Academy","1315 Old Spartanburg Hwy.","Hendersonville","NC",29792,NA,"Religious",296743.691793438,177571.221235029
391,391,139223,"Cumberland","First Impressions Academy","6965 Nexus Court","Fayetteville","NC",28304,NA,"Independent",608359.156214602,142582.994798368
392,392,60284,"Mecklenburg","British International Sch. of Charlotte","7000 Endhaven Lane","Charlotte","NC",28277,"www.britishschoolofcharlotte.org","Independent",441914.097136691,147763.734794401
393,393,131537,"Henderson","Upward Adventist School","957 Upward Rd.","Flat Rock","NC",28731,NA,"Religious",301262.724033202,176831.499050539
394,394,131568,"Guilford","Lionheart Academy of the Triad","1734 Battleground Ave.","Greensboro","NC",27408,NA,"Independent",536296.103089488,260119.123811342
395,395,59807,"Cumberland","Flaming Sword Christian Academy","3230 Legion Road","Hope Mills","NC",28348,"www.flamingswordacademy.org","Religious",617071.138268817,138830.503984483
396,396,59347,"Guilford","Mell-Burton School","1601 Huffine Mill Road","Greensboro","NC",27405,"www.youthfocus.org","Independent",544172.045317126,260598.865786932
397,397,59695,"Henderson","Veritas Christian Academy","17 Cane Creek Road","Fletcher","NC",28732,"www.veritasnc.org","Religious",291930.256144203,192536.895410942
398,398,66149,"Henderson","World's Edge Christian Academy","P.O. Box 288","Edneyville","NC",28727,NA,"Religious",306061.246218125,187350.067576665
399,399,113739,"Cumberland","Focus Academy at Overhills","751 Lillington Highway","Spring Lake","NC",28390,NA,"Independent",612502.806654604,158241.180828325
400,400,72622,"Guilford","Mell-Burton Structured Day School","309 Concord Street, Suite 201","Greensboro","NC",27406,"www.youthfocus.org","Independent",537564.577935771,254689.42305504
401,401,108112,"Hertford","ACC Academy","PO Box 155","Ahoskie","NC",27910,NA,"Religious",790344.989314106,283435.637791781
402,402,59788,"Mecklenburg","Brookstone Schools","P.O. Box 667890","Charlotte","NC",28266,"www.brookstoneschools.org","Religious",436001.918721246,166651.071307672
403,403,92074,"Cumberland","Freedom Christian Academy","3130 Gillespie Street","Fayetteville","NC",28306,"www.fcapatriots.org","Religious",618504.750745119,137996.070344649
404,404,59456,"Guilford","Napoleon B. Smith Academy","1800 E. Market Street","Greensboro","NC",27401,NA,"Religious",540242.645214464,257950.597815143
405,405,59278,"Mecklenburg","Carmel Christian School","1145 Pineville-Matthews Road","Matthews","NC",28105,"www.carmelchristian.org","Religious",449800.625307094,152752.913029028
406,406,59460,"Guilford","New Garden Friends School","1128 New Garden Road","Greensboro","NC",27410,"www.ngfs.org","Religious",529302.151892018,260886.085754145
407,407,59479,"Hertford","Ahoskie Christian School","500-504 Kiwanis Street","Ahoskie","NC",27910,NA,"Religious",791422.144458845,282374.887700135
408,408,59498,"Mecklenburg","Charlotte Catholic High School","7702 Pineville-Matthews Road","Charlotte","NC",28226,"www.gocougars.org","Religious",440855.693688694,149963.494333841
409,409,59284,"Hertford","Hertford Multi-Purpose Juvenile Sch","114 Oak Villa Road","Winton","NC",27986,"www.mhfc.org","Religious",794492.016027804,293559.13930474
410,410,102861,"Hertford","New Vision Christian Academy","PO Box 384","Murfreesboro","NC",27855,NA,"Religious",779993.46489935,300112.875383925
411,411,59465,"Guilford","Noble Academy","3310 Horse Pen Creek Rd.","Greensboro","NC",27410,"www.nobleknights.org","Independent",530915.327831669,266341.133362181
