"SchoolName","Address","City","Zipcode","County","geometry"
"Cove Creek Elementary","930 Vanderpool Rd","Vilas",28692,"Watauga",c(362738.531300001, 281811.5)
"Mabel Elementary","404 Mabel School Road","Zionville",28698,"Watauga",c(362987.968699999, 288806.5623)
"Valle Crucis Elementary","2998 Broadstone Road","Sugar Grove",28679,"Watauga",c(359727.8125, 276413.468899999)
"Brogden Middle","3761 US 117 S Alt","Dudley",28333,"Wayne",c(697134.750200003, 171603.796700001)
"Charles B Aycock High","5460 US 117 North","Pikeville",27863,"Wayne",c(702126.125100002, 195643.546799999)
"Norwayne Middle","1394 Norwayne School Road","Fremont",27830,"Wayne",c(704479.625200003, 196140.078200001)
"Fremont STARS Elementary","101 Pine Street","Fremont",27830,"Wayne",c(702333.250200003, 199605.468899999)
"Northeast Elementary","4665 NC Hwy 111 N","Pikeville",27863,"Wayne",c(708943.562600002, 193415.031199999)
"Rosewood Elementary","126 Charlie Braswell Road","Goldsboro",27530,"Wayne",c(693927.312600002, 184968.5627)
"Eastern Wayne Middle","3518 Central Heights Rd","Goldsboro",27534,"Wayne",c(708670.000100002, 181774.453299999)
"Goldsboro High","901 E Beech Street","Goldsboro",27530,"Wayne",c(702284.750200003, 181977.1094)
"C B Eller Elementary","1288 CB Eller School Rd","Elkin",28621,"Wilkes",c(439920.625100002, 281948.1875)
"C C Wright Elementary","200 CC Wright School Rd","North Wilkesboro",28659,"Wilkes",c(420129.468800001, 266901.0623)
"RondaClingman Elementary","316 RondaClingman School Rd","Ronda",28670,"Wilkes",c(435385.374899998, 274028.031300001)
"East Wilkes High","13315 Elkin Hwy 268","Ronda",28670,"Wilkes",c(436259.093599997, 276374.062600002)
"Moravian Falls Elementary","2001 Moravian Falls Rd","Moravian Falls",28654,"Wilkes",c(413242.531300001, 262612.3125)
"Mount Pleasant Elementary","532 Champion Mt Pleasant Rd","Ferguson",28624,"Wilkes",c(400333.781199999, 268618.6873)
"Mountain View Elementary","5464 Mountain View Rd","Hays",28635,"Wilkes",c(419387.218900003, 279187.6252)
"North Wilkes High","2986 Traphill Rd","Hays",28635,"Wilkes",c(421056, 282939.031399999)
"Traphill Elementary","9794 Traphill Rd","Traphill",28685,"Wilkes",c(427415.156300001, 289845.624899998)
"West Wilkes High","6598 Boone Trail","Millers Creek",28651,"Wilkes",c(406384.406400003, 272502.1873)
"Forest Hills Middle","1210 Forest Hills","Wilson",27893,"Wilson",c(704524.000200003, 221334.5779)
"Gardners Elementary","5404 NC 42 Hwy E","Elm City",27822,"Wilson",c(719760.624799997, 221849.843699999)
"Speight Middle","5514 Old Stantonsburg Road","Stantonsburg",27883,"Wilson",c(718608.812700003, 211855.031300001)
"Lee Woodard Elementary","103 Church St","Black Creek",27813,"Wilson",c(705797.625, 210136.359499998)
"Lucama Elementary","6260 Blalock Road","Lucama",27851,"Wilson",c(700055.749899998, 210278.203200001)
"Stantonsburg Elementary","409 S Main St","Stantonsburg",27883,"Wilson",c(715761.812399998, 206232.1248)
"Boonville Elementary","232 East Main Street","Boonville",27011,"Yadkin",c(456463.843699999, 276609.781300001)
"East Bend Elementary","205 School Street","East Bend",27018,"Yadkin",c(474042.8125, 274364.249899998)
"West Yadkin Elementary","4432 Old US 421 Hwy","Hamptonville",27020,"Yadkin",c(448631.781400003, 264767.375100002)
"Yadkinville Elementary","305 North State Street","Yadkinville",27055,"Yadkin",c(460084.249899998, 266058.781300001)
"Bald Creek Elementary","100 Bald Creek School Road","Burnsville",28714,"Yancey",c(300665.562399998, 245244.390700001)
"Bee Log Elementary","55 Bee Log Road","Burnsville",28714,"Yancey",c(302311.531499997, 252999.406399999)
"Burnsville Elementary","395 Burnsville School Road","Burnsville",28714,"Yancey",c(315432.093699999, 245237.859499998)
"East Yancey Middle","285 Georges Fork Road","Burnsville",28714,"Yancey",c(315584.343699999, 244579.203000002)
"Cane River Middle","1128 Cane River School Road","Burnsville",28714,"Yancey",c(304759.843599997, 245051.093600001)
"Mountain Heritage High","333 Mtn Heritage HS Road","Burnsville",28714,"Yancey",c(308784.374899998, 244471.390799999)
"Clearmont Elementary","1175 Clearmont School Road","Burnsville",28714,"Yancey",c(312287, 251884.859200001)
"Micaville Elementary","112 State Hwy 80 South","Burnsville",28714,"Yancey",c(319332.562600002, 243792.531199999)
"South Toe Elementary","139 South Toe School Rd","Burnsville",28714,"Yancey",c(321645.25, 236505.9844)
"Cranberry Middle","6230 North Highway 19E","Elk Park",28622,"Avery",c(343065.624899998, 270265.093699999)
"Avery Middle","102 Montezuma Road","Newland",28657,"Avery",c(346908.437299997, 260927)
"Mount Pleasant Middle","8325 Hwy 49 N","Mount Pleasant",28124,"Cabarrus",c(479139.625100002, 185425.906199999)
"Cabarrus Co Opportunity Sch","120 Marsh Avenue NW","Concord",28025,"Cabarrus",c(464892.406300001, 183261.656199999)
"Forest Park Elementary","1333 Forest Park Drive","Kannapolis",28083,"Cabarrus",c(464059.8292, 193004.214000002)
"Catawba Elementary School","5415 Hudson Chapel Road","Catawba",28609,"Catawba",c(421976.7795, 217962.354200002)
"Crest Middle","315 Beaverdam Church Road","Shelby",28150,"Cleveland",c(371394.687299997, 172545.484299999)
"Fallston Elementary","112 Gary Street","Fallston",28042,"Cleveland",c(382639.749899998, 188818.781199999)
"Armstrong Elementary","3395 Dunn Road","Eastover",28312,"Cumberland",c(628665.187600002, 148883.905999999)
"Stedman Elementary","7370 Clinton Road Hwy 24","Stedman",28391,"Cumberland",c(637310.250200003, 140225.140700001)
"Cape Hatteras Elementary","47500 Middle Ridge","Buxton",27920,"Dare",c(923283.000100002, 173542.578200001)
"North Davidson High","7227 Old US Hwy 52","Lexington",27295,"Davidson",c(497086.031300001, 241911.890700001)
"Pickett Elementary School","200 Biesecker Road","Lexington",27292,"Davidson",c(495384.218699999, 233227.594000001)
"North Duplin Elementary","157 North Duplin School Road","Mt. Olive",28365,"Duplin",c(693023.500100002, 154122.656100001)
"North Duplin Jr Sr High","1388 West NC 403 Highway","Mt. Olive",28365,"Duplin",c(692880.187600002, 153908.0627)
"B F Grady Elementary","2627 N NC 11 & 903","Albertson",28508,"Duplin",c(716404.454499997, 145647.975299999)
"Warsaw Elementary","158 Lane Field Road","Warsaw",28398,"Duplin",c(693835.687399998, 138630.921700001)
"James Kenan High","1241 NC 24 & 50","Warsaw",28398,"Duplin",c(696959.687299997, 137364.094000001)
"E E Smith Middle","Hwy 24","Kenansville",28349,"Duplin",c(703174.124799997, 134604.484299999)
"Kenansville Elementary","Hwy 50","Kenansville",28349,"Duplin",c(704687.375200003, 134345.734299999)
"East Duplin High","394 North NC Highway 111","Beulaville",28518,"Duplin",c(720617.187600002, 132776.1875)
"Beulaville Elementary","138 Lyman Road","Beulaville",28518,"Duplin",c(722516.229699999, 130441.780699998)
"Rose HillMagnolia Elementary","1329 Brooks Quinn Road","Rose Hill",28458,"Duplin",c(698903.625100002, 122470.890500002)
"Charity Middle","1333 West Charity Road","Rose Hill",28458,"Duplin",c(703946.062399998, 119709.8358)
"Chinquapin Elementary","3894 NC 50 South","Chinquapin",28521,"Duplin",c(718277.749899998, 119883.616999999)
"Wallace Elementary","4266 NC 11 S","Wallace",28466,"Duplin",c(703102.312700003, 109645.367400002)
"Western Harnett High","10637 NC Hwy 27 West","Lillington",27546,"Harnett",c(611330.625200003, 175937.656100001)
"Western Harnett Middle","11135 NC Hwy 27 West","Lillington",27546,"Harnett",c(610624.374899998, 175930.968699999)
"STAR Academy","900 11th Street","Lillington",27546,"Harnett",c(625711.562700003, 182921.734499998)
"Harnett Central Middle","2529 Harnett Central Rd","Angier",27501,"Harnett",c(629041.750100002, 190029.8281)
"Bethel Elementary","4700 Old River Road","Canton",28716,"Haywood",c(256129.578199998, 198061.718800001)
"Bethel Middle","630 Sonoma Road","Waynesville",28786,"Haywood",c(256302.125100002, 198059.5)
"Jonathan Valley Elementary","410 Hall Drive","Waynesville",28785,"Haywood",c(244190.031099997, 205037.968899999)
"Troutman Middle","305 Rumple St","Troutman",28166,"Iredell",c(438958.468900003, 217925.671700001)
"Jamesville Elementary","1220 Hardison St","Jamesville",27846,"Martin",c(799249.812399998, 230572.5627)
"Jamesville Middle","1215 S St Andrews St","Jamesville",27846,"Martin",c(799503.687399998, 230511.937399998)
"New Century Middle","1577 Union Church Road","Cameron",28326,"Moore",c(577027.374799997, 175561.719000001)
"Holly Tree Elementary","3020 Web Trace","Wilmington",28409,"New Hanover",c(712550.937600002, 49721.0861000009)
"Dr Hubert Eaton Sr Elem","6701 Gordon Road","Wilmington",28405,"New Hanover",c(717370.562600002, 57568.5978999995)
"Ogden Elementary","3637 Middle Sound Rd","Wilmington",28411,"New Hanover",c(719223.500100002, 57907.6055000015)
"Fred A Anderson Elementary","515 Anderson Drive","Bayboro",28515,"Pamlico",c(811944.375100002, 156413.3281)
"Pamlico County High","601 Main Street","Bayboro",28515,"Pamlico",c(811969.437700003, 156737.531500001)
"Pamlico County Middle","15526 NC Hwy 55","Bayboro",28515,"Pamlico",c(813469.812600002, 156304.749899998)
"Pender High","5380 NC Hwy 53 W","Burgaw",28425,"Pender",c(700304.062299997, 88723.1873999983)
"Penderlea Elementary","82 Penderlea School Rd","Willard",28478,"Pender",c(696916.249899998, 100925.148400001)
"Rocky Point Primary","255 Elementary School Road","Rocky Point",28457,"Pender",c(712820.000100002, 75864.8361000009)
"Topsail High","245 North St Johns Road","Hampstead",28443,"Pender",c(731243.75, 72630.2657999992)
"Topsail Middle","17445 US Hwy 17","Hampstead",28443,"Pender",c(731148.5625, 72379.3828999996)
"West Pender Middle","10750 NC Hwy 53 West","Burgaw",28425,"Pender",c(691948.562600002, 86717.3357999995)
"Hertford County Middle","1850 Hwy 11N","Murfreesboro",27855,"Hertford",c(780987.5, 298974.906399999)
"Riverview Elementary","236 US 158 Business","Murfreesboro",27855,"Hertford",c(782084.375100002, 299903.968600001)
"Hertford County High","1500 W First St","Ahoskie",27910,"Hertford",c(789404.375, 284314.75)
"South Elementary","1333 Hurdle Mills Rd","Roxboro",27573,"Person",c(610610.374899998, 291255.8125)
"Lakewood High","245 Lakewood School Rd","Salemburg",28385,"Sampson",c(655038.624799997, 137743.125100002)
"RoseboroSalemburg Middle","305 West Pleasant Street","Roseboro",28382,"Sampson",c(654113.3125, 133269.218800001)
"EatonJohnson Middle","500 N Beckford Drive","Henderson",27536,"Vance",c(663371.937399998, 287245.906100001)
"New Hope Elementary","10199 NC 39 Hwy N","Henderson",27537,"Vance",c(659591.312700003, 301281.093600001)
"E O Young Jr Elementary","6655 Broad Street","Henderson",27537,"Vance",c(669789.249899998, 293866.875100002)
"Zeb Vance Elementary","4800 Raleigh Road","Kittrell",27544,"Vance",c(662566.750100002, 279112.593899999)
"Creswell Elementary","200 South Seventh St","Creswell",27928,"Washington",c(844619.999899998, 238276.812399998)
"West Alexander Middle","85 Bulldog Lane","Taylorsville",28681,"Alexander",c(400815.093699999, 237950.531199999)
"Bogue Sound Elementary","3323 Highway 24","Newport",28570,"Carteret",c(797270.274700001, 109418.859000001)
"Croatan High","1 Cougar Lane","Newport",28570,"Carteret",c(797319.212300003, 109118.727000002)
"Tucker Creek Middle","200 Sermons Boulevard","Havelock",28532,"Craven",c(797874.104599997, 132778.761999998)
"Bunn Middle","4742 NC 39 Hwy S","Bunn",27508,"Franklin",c(676075.6875, 247044.359299999)
"Cedar Creek Middle","2228 Cedar Creek Road","Youngsville",27596,"Franklin",c(659210.125100002, 254352.265700001)
"Weldon Middle","4489 Highway 301","Halifax",27839,"Halifax",c(734002.812600002, 296100.187399998)
"Ocracoke School","1 Schoolhouse Rd","Ocracoke",27960,"Hyde",c(884991.249899998, 155272.984499998)
"East Clayton Elementary","2075 NC Highway 42 East","Clayton",27527,"Johnston",c(663654.624899998, 210709.906100001)
"Pinehurst Elementary","100 Dundee Road","Pinehurst",28374,"Moore",c(567443.687700003, 160936.968600001)
"Hunters Creek Elementary","3450 Hunters Trail","Jacksonville",28546,"Onslow",c(761936.937299997, 111434.765799999)
"Queens Creek Elementary","159 Queens Creek Road","Swansboro",28584,"Onslow",c(778556.562700003, 107078.9296)
"Pamlico County Primary","323 Neals Creek Road","Bayboro",28515,"Pamlico",c(811728.937299997, 156530.468699999)
"Carver Elementary","400 Old Seven Springs Rd","Mount Olive",28365,"Wayne",c(695965.875, 161315.421700001)
"Adams Elementary","805 Cary Towne Blvd","Cary",27511,"Wake",c(631158.687700003, 224953.593600001)
"Anson Academy","1027 East Caswell Street","Wadesboro",28170,"Anson",c(511186.624799997, 133350.6248)
"Central Middle","310 S Martin L King Jr Ave","Whiteville",28472,"Columbus",c(636234.062399998, 64007.4257000014)
"Mac Williams Middle","4644 Clinton Road","Fayetteville",28312,"Cumberland",c(630937.261799999, 142536.377099998)
"E Melvin Honeycutt Elementary","4665 Lakewood Drive","Fayetteville",28306,"Cumberland",c(610248.624899998, 138775.734299999)
"William T Brown Elementary","2522 Andrews Church Road","Spring Lake",28390,"Cumberland",c(612767.437399998, 156260.656100001)
"Midway Elementary","1500 Midway Elem School Rd","Dunn",28334,"Sampson",c(654730.125, 159911.7031)
"Broadview Middle","2229 Broadview Drive","Burlington",27217,"Alamance",c(573783.617799997, 259382.8299)
"E M Yoder Elementary","301 N Charles Street","Mebane",27302,"Alamance",c(584935.499799997, 260679.703000002)
"Eastern Alamance High","4040 Mebane Rogers","Mebane",27302,"Alamance",c(582315.413800001, 262225.688700002)
"Eastlawn Elementary","502 N Graham Hopedale Road","Burlington",27217,"Alamance",c(573036.999799997, 260939.515799999)
"Elon Elementary","510 E Haggard Avenue","Elon",27244,"Alamance",c(564617.562299997, 261161.781100001)
"B Everett Jordan Elem","5827 Church Road","Graham",27253,"Alamance",c(580153.233999997, 242938.522)
"Graham High","903 Trollinger Road","Graham",27253,"Alamance",c(575180.999899998, 258166.2971)
"Graham Middle","311 E Pine Street","Graham",27253,"Alamance",c(573894.5625, 257193.734200001)
"Harvey R Newlin Elementary","316 Carden Street","Burlington",27215,"Alamance",c(571672.0625, 257870.765500002)
"Haw River Elementary","701 E Main Street","Haw River",27258,"Alamance",c(577341.994099997, 260052.671799999)
"Hillcrest Elementary","1714 W Davis Street","Burlington",27215,"Alamance",c(567965.437299997, 261260.2656)
"Hugh M Cummings High","2200 N Mebane Street","Burlington",27217,"Alamance",c(573844.530500002, 259545.035799999)
"Marvin B Smith Elementary","2235 Delaney Drive","Burlington",27215,"Alamance",c(566691.25, 258375.2969)
"North Graham Elementary","1025 Trollinger Road","Graham",27253,"Alamance",c(575446.6875, 258208.703200001)
"Pleasant Grove Elementary","2847 Pleasant Grv Sch Road","Burlington",27217,"Alamance",c(582000.792900003, 273776.48)
"R Homer Andrews Elementary","2630 Buckingham Road","Burlington",27217,"Alamance",c(575037.562700003, 260096.3127)
"SellarsGunn Alternative","612 Apple Street","Burlington",27217,"Alamance",c(570743.125, 261233.890799999)
"South Graham Elementary","320 Ivey Road","Graham",27253,"Alamance",c(574019.437299997, 255379)
"South Mebane Elementary","600 S 3rd Street","Mebane",27302,"Alamance",c(585045.124799997, 259631.4375)
"Southern High","631 Southern High Road","Graham",27253,"Alamance",c(572914.340899996, 249849.737799998)
"Southern Middle","771 Southern High Road","Graham",27253,"Alamance",c(572713.674999997, 250120.4855)
"Sylvan Elementary","7718 Sylvan Road","Snow Camp",27349,"Alamance",c(570182.912600003, 236399.7753)
"Turrentine Middle","1710 Edgewood Avenue","Burlington",27215,"Alamance",c(567909.512999997, 259869.5251)
"Walter M Williams High","1307 S Church Street","Burlington",27215,"Alamance",c(568948.062399998, 259363.5156)
"Western Middle","2100 Eldon Drive","Elon",27244,"Alamance",c(564300.1712, 267717.981400002)
"Woodlawn Middle","3970 Mebane Rogers Road","Mebane",27302,"Alamance",c(582169.164300002, 262391.691)
"Alexander Central High","223 School Drive","Taylorsville",28681,"Alexander",c(412200.187600002, 242738.468600001)
"East Alexander Middle","1285 White Plains Road","Hiddenite",28636,"Alexander",c(418320.124799997, 243796.781300001)
"Hiddenite Elementary","374 Sulphur Springs Road","Hiddenite",28636,"Alexander",c(420912.843599997, 241231.531399999)
"Taylorsville Elementary","100 7th Street SW","Taylorsville",28681,"Alexander",c(412664.406000003, 242992.640799999)
"Piney Creek Elementary","559 Piney Creek Sch Road","Piney Creek",28663,"Alleghany",c(403273.788599998, 312822.754000001)
"Sparta Elementary","450 N Main Street","Sparta",28675,"Alleghany",c(419137.322300002, 308194.906500001)
"Lilesville Elementary","121 Camden Street","Lilesville",28091,"Anson",c(519271.166699998, 134989.030299999)
"Eastern Elementary","947 Hudnell Street","Washington",27889,"Beaufort",c(787633.125100002, 200862.109299999)
"John C Tayloe Elementary","910 Tarboro Street","Washington",27889,"Beaufort",c(785028.637500003, 202304.278499998)
"Northside High","7868 Free Union Church Road","Pinetown",27865,"Beaufort",c(815464.397600003, 200490.009399999)
"P S Jones Middle","4105 N Market Street Ext","Washington",27889,"Beaufort",c(787766.504500002, 206931.915800001)
"Washington High","400 Slatestone Road","Washington",27889,"Beaufort",c(789688.595600002, 202273.299400002)
"Windsor Elementary","104 Cooper Hill Road","Windsor",27983,"Bertie",c(797027.135700002, 250145.220899999)
"Bladen Lakes Primary","9554 Johnsontown Road","Elizabethtown",28337,"Bladen",c(646685.028700002, 106680.213399999)
"Belville Elementary","575 River Road","Leland",28451,"Brunswick",c(703251.145199999, 52737.8808999993)
"Brunswick County Academy","1109 Old Ocean Highway","Bolivia",28422,"Brunswick",c(699988.500100002, 19881.9103000015)
"Union Elementary","180 Union School Road NW","Shallotte",28459,"Brunswick",c(659489.999899998, 23195.1327)
"Waccamaw","5901 Waccamaw School Road NW","Ash",28420,"Brunswick",c(654197.187600002, 34985.4763999991)
"West Brunswick High","550 Whiteville Road NW","Shallotte",28470,"Brunswick",c(664136.041599996, 25638.0034999996)
"Reynolds High","1 Rocket Drive","Asheville",28803,"Buncombe",c(294517.875, 205406.109499998)
"Reynolds Middle","2 Rocket Drive","Asheville",28803,"Buncombe",c(294534.937700003, 205364.718800001)
"Barnardsville Elementary","20 Hillcrest Drive","Barnardsville",28709,"Buncombe",c(296835.9903, 230096.4329)
"Black Mountain Elementary","100 Flat Creek Road","Black Mountain",28711,"Buncombe",c(309495.624899998, 212501.5625)
"Black Mountain Primary","301 East State Street","Black Mountain",28711,"Buncombe",c(309389.812600002, 212444.156399999)
"Candler Elementary","121 Candler School Road","Candler",28715,"Buncombe",c(274113.593800001, 204738.656100001)
"Bell Elementary","90 Maple Springs Road","Asheville",28805,"Buncombe",c(293229.113899998, 209696.827799998)
"Owen High","99 Lake Eden Road","Black Mountain",28711,"Buncombe",c(304038.781300001, 212555.062600002)
"Erwin High","60 Lees Creek Road","Asheville",28806,"Buncombe",c(281231.0229, 213377.499499999)
"Erwin Middle","20 Erwin Hills Road","Asheville",28806,"Buncombe",c(280885.490099996, 213180.202500001)
"Emma Elementary","37 Brickyard Road","Asheville",28806,"Buncombe",c(284130.343699999, 210940.2969)
"Fairview Elementary","1355 Charlotte Hwy","Fairview",28730,"Buncombe",c(300315.031099997, 202049.531399999)
"Glen Arden Elementary","50 Pinehurst Circle","Arden",28704,"Buncombe",c(292319.793499999, 196404.366300002)
"Haw Creek Elementary","21 Trinity Chapel Road","Asheville",28805,"Buncombe",c(291879.531400003, 210079.2656)
"Leicester Elementary","31 Gilbert Road","Leicester",28748,"Buncombe",c(273972.374899998, 218010.171700001)
"North Buncombe Elementary","251 Flat Creek Church Rd","Weaverville",28787,"Buncombe",c(286884.656000003, 227263.500100002)
"North Buncombe High","890 Clarks Chapel Road","Weaverville",28787,"Buncombe",c(287863.406099997, 226446.359499998)
"Oakley Elementary","753 Fairview Road","Asheville",28803,"Buncombe",c(291283.218800001, 206915.625)
"Enka Middle","390 Asbury Road","Candler",28715,"Buncombe",c(277410.812899999, 205963.2918)
"Sand HillVenable Elem","154 Sand Hill School Road","Asheville",28806,"Buncombe",c(279724.356600001, 206249.856699999)
"Williams Elementary","161 Bee Tree Road","Swannanoa",28778,"Buncombe",c(301343.6875, 211038.328200001)
"Roberson High","250 Overlook Road","Asheville",28803,"Buncombe",c(288961.3125, 198371.484299999)
"Estes Elementary","275 Overlook Road","Asheville",28803,"Buncombe",c(288544.406199999, 198586.2498)
"West Buncombe Elementary","175 Erwin Hills Road","Asheville",28806,"Buncombe",c(281749.968699999, 213485.1252)
"Woodfin Elementary","108 Elk Mountain Road","Asheville",28804,"Buncombe",c(285015.437299997, 214652.0156)
"Asheville High","419 McDowell Street","Asheville",28803,"Buncombe",c(287709.010300003, 207988.297600001)
"Hall Fletcher Elementary","60 Ridgelawn Avenue","Asheville",28806,"Buncombe",c(285663.749899998, 208334.1252)
"Isaac Dickson Elementary","125 Hill Street","Asheville",28801,"Buncombe",c(286678.031199999, 210425.031199999)
"Claxton Elementary","241 Merrimon Avenue","Asheville",28801,"Buncombe",c(287731.531199999, 211868.062399998)
"Ira B Jones Elementary","544 Kimberly Avenue","Asheville",28804,"Buncombe",c(288210.062299997, 214295.875100002)
"Asheville Middle","197 S French Broad Avenue","Asheville",28801,"Buncombe",c(287086.218900003, 209516.218600001)
"Vance Elementary","98 Sulphur Springs Road","Asheville",28806,"Buncombe",c(283357.531300001, 208738.219000001)
"Chesterfield Elementary","2142 Pax Hill Road","Morganton",28655,"Burke",c(368889.468800001, 231839.0469)
"Hallyburton Academy","205 South Main Street","Drexel",28619,"Burke",c(366083.531199999, 224717.0625)
"Forest Hill Elementary","304 Ann Street","Morganton",28655,"Burke",c(365321.250200003, 223225.906300001)
"Freedom High","511 Independence Boulevard","Morganton",28655,"Burke",c(363700.093900003, 224590.421700001)
"Glen Alpine Elementary","302 London Street","Morganton",28655,"Burke",c(358251.531099997, 222611.218899999)
"Heritage Middle","1951 Enon Road","Valdese",28690,"Burke",c(376200.874799997, 225916.484299999)
"Mountain Crest Elementary","201 Tennessee Street","Morganton",28655,"Burke",c(367734.406099997, 225572.999899998)
"Liberty Middle","529 Enola Road","Morganton",28655,"Burke",c(367960.817000002, 220400.5308)
"North Liberty","523 Enola Road","Morganton",28655,"Burke",c(367952.437700003, 220527.469700001)
"Salem Elementary","1329 Salem Road","Morganton",28655,"Burke",c(365202.464199997, 219156.250399999)
"Valdese Elementary","298 Praley Street","Valdese",28690,"Burke",c(377471.280900002, 224522.125599999)
"Beverly Hills Elementary","87 Palaside Drive NE","Concord",28025,"Cabarrus",c(464732.812600002, 187648.250100002)
"ColtraneWebb Elementary","61 Spring St NW","Concord",28025,"Cabarrus",c(465691.156099997, 185401.046999998)
"Concord Middle","1500 Gold Rush Drive","Concord",28025,"Cabarrus",c(465368.249799997, 185648.078200001)
"Concord High","481 Burrage Road NE","Concord",28025,"Cabarrus",c(465947.926799998, 187909.853799999)
"J N Fries Magnet School","133 Stonecrest Circle SW","Concord",28027,"Cabarrus",c(464796.693800002, 180534.856600001)
"Mount Pleasant High","700 Walker Road","Mount Pleasant",28124,"Cabarrus",c(475034.193400003, 184923.1587)
"Northwest Cabarrus High","5130 NW Cabarrus Drive","Concord",28027,"Cabarrus",c(458705.225199997, 189895.236400001)
"Northwest Cabarrus Middle","5140 NW Cabarrus Drive","Concord",28027,"Cabarrus",c(458470.018399999, 190201.385200001)
"Royal Oaks Elementary","608 Dakota Street","Kannapolis",28083,"Cabarrus",c(463212.497199997, 191610.4626)
"Rocky River Elementary","5454 Rocky River Road","Concord",28025,"Cabarrus",c(464432.113899998, 177823.133900002)
"R Brown  McAllister Elementary","541 Sunnyside Drive SE","Concord",28025,"Cabarrus",c(467271.781400003, 183871.984299999)
"W R Odell Elementary","1885 Odell School Road","Concord",28027,"Cabarrus",c(451738.1853, 187490.606800001)
"Winecoff Elementary","375 Winecoff Sch Road","Concord",28027,"Cabarrus",c(462655.062399998, 189527.296700001)
"A L Brown High","415 E 1st Street","Kannapolis",28083,"Cabarrus",c(462678.593900003, 194883.375)
"Fred L Wilson Elementary","1401 Pine Street","Kannapolis",28081,"Cabarrus",c(460248.781300001, 195072.6404)
"Jackson Park Elementary","1400 Jackson Street","Kannapolis",28083,"Cabarrus",c(464281.500100002, 195845.531100001)
"Kannapolis Middle","1445 Oakwood Avenue","Kannapolis",28081,"Cabarrus",c(462896.687399998, 194487.921999998)
"Shady Brook Elementary","903 Rogers Lake Road","Kannapolis",28081,"Cabarrus",c(460782.218900003, 192547.093699999)
"Woodrow Wilson Elementary","800 N Walnut Street","Kannapolis",28081,"Cabarrus",c(462649.656300001, 196205.5156)
"Baton Elementary","1400 Baton School Road","Granite Falls",28630,"Caldwell",c(380392.0568, 231217.182799999)
"Caldwell Co Gateway Sch","1889 Dudley Shoals Road","Granite Falls",28630,"Caldwell",c(395671.112000003, 237112.366700001)
"Davenport A+ School","901 College Avenue SW","Lenoir",28645,"Caldwell",c(380352.437399998, 242799.609499998)
"Dudley Shoals Elementary","1500 Dudley Shoals Road","Granite Falls",28630,"Caldwell",c(393497.586999997, 236220.4725)
"Gamewell Elementary","2904 Morganton Boulevard","Lenoir",28645,"Caldwell",c(375100.549400002, 238121.3369)
"Granite Falls Middle","90 N Main Street","Granite Falls",28630,"Caldwell",c(389753.337700002, 229893.0526)
"Granite Falls Elementary","60 N Highland Avenue","Granite Falls",28630,"Caldwell",c(389527.146399997, 230954.886)
"Hudson Elementary","200 Roy Coffey Drive","Hudson",28638,"Caldwell",c(385385.647799999, 235666.630899999)
"Hudson Middle","291 Pine Mountain Road","Hudson",28638,"Caldwell",c(385748.937399998, 235480.312399998)
"William Lenoir Middle","332 Greenhaven Drive NW","Lenoir",28645,"Caldwell",c(380815.936700001, 244388.348299999)
"Lower Creek Elementary","630 Lower Creek Drive NE","Lenoir",28645,"Caldwell",c(382863.218599997, 243907.281500001)
"South Caldwell High","7035 Spartan Drive","Hudson",28638,"Caldwell",c(388184.311399996, 232443.5425)
"Valmead Elementary","111 Elizabeth Drive NW","Lenoir",28645,"Caldwell",c(380403.031400003, 245615.9221)
"West Lenoir Elementary","125 Maple Drive NW","Lenoir",28645,"Caldwell",c(379185.906000003, 242517.885699999)
"Whitnel Elementary","116 Hibriten Drive SW","Lenoir",28645,"Caldwell",c(381994.052100003, 240285.250100002)
"Camden Middle","248 Scotland Road","Camden",27921,"Camden",c(863152.396399997, 293285.271299999)
"Beaufort Elementary","110 Carraway Drive","Beaufort",28516,"Carteret",c(824319.932400003, 110175.828200001)
"Beaufort Middle","100 Carraway Drive","Beaufort",28516,"Carteret",c(824973.062700003, 111044.429499999)
"Morehead Elem at Camp Glenn","3316 Arendell Street","Morehead City",28557,"Carteret",c(815648.8059, 110601.433400001)
"Morehead City Middle","400 Barbour Road","Morehead City",28557,"Carteret",c(816418.293700002, 111270.053100001)
"Morehead City Primary","4409 Country Club Road","Morehead City",28557,"Carteret",c(813078.779399998, 111423.362100001)
"West Carteret High","4700 Country Club Road","Morehead City",28557,"Carteret",c(812293.624600001, 111776.325300001)
"White Oak Elementary","555 WB McLean Drive","Cape Carteret",28584,"Carteret",c(787381.0625, 106305.2502)
"Stoney Creek Elementary","1803 Stoney Creek School Rd","Reidsville",27320,"Caswell",c(571540.4749, 287959.511500001)
"Harry M Arndt Middle","3350 34th Street Drive NE","Hickory",28601,"Catawba",c(404636.437299997, 226914.0156)
"Bandys High","5040 E Bandys Road","Catawba",28609,"Catawba",c(420803.000100002, 211938.140500002)
"Charles H Tuttle Elementary","2872 Water Plant Road","Maiden",28650,"Catawba",c(414111.872599997, 206136.717799999)
"Clyde Campbell Elementary","2121 35th Avenue Drive NE","Hickory",28601,"Catawba",c(402775.406400003, 227377.625)
"Fred T Foard High","3407 Plateau Road","Newton",28658,"Catawba",c(394843.040200002, 209733.953299999)
