"SchoolName","Address","City","Zipcode","County","geometry"
"Bennett Elementary","61 Randolph Street","Bennett",27208,"Chatham",c(560136.375200003, 201164.640799999)
"Bonlee Elementary","153 Bonlee School Road","Bonlee",27213,"Chatham",c(571527.812399998, 210152.374899998)
"Chatham Central High","14950 NC Hwy 902 W","Bear Creek",27207,"Chatham",c(574212.5, 206813.6873)
"Moncure Elementary","600 Moncure School Road","Moncure",27559,"Chatham",c(602564.500100002, 208784.953000002)
"Horton Middle","79 Horton Road","Pittsboro",27312,"Chatham",c(593607.062299997, 217788.046999998)
"Chatham Middle","2025 South 2nd Avenue Ext","Siler City",27344,"Chatham",c(569130.462899998, 217198.1765)
"Silk Hope Elementary","7945 Silk Hope/Gum Springs R","Siler City",27344,"Chatham",c(576404.499899998, 225290.7971)
"J S Waters Elementary","55 J S Waters School Road","Goldston",27252,"Chatham",c(580177.9375, 205509.2656)
"Northwood High","310 Northwood High School Rd","Pittsboro",27312,"Chatham",c(593940.374799997, 222650.3125)
"Beaver Dam Elementary","12059 Hwy 210 S","Roseboro",28382,"Cumberland",c(647922.375200003, 127056.140799999)
"Raleigh Road Elementary","8330 Ramsey Street","Linden",28356,"Cumberland",c(624105.1325, 162827.572500002)
"J W Seabrook Elementary","4619 NC Hwy 210 South","Fayetteville",28301,"Cumberland",c(631945.500100002, 137225.0156)
"Stedman Primary","155 E First Street","Stedman",28391,"Cumberland",c(637644.25, 139937.781100001)
"District No 7 Elementary","5721 Smithfield Road","Wade",28395,"Cumberland",c(636462.562600002, 155345.7656)
"Eastover Central Elementary","5174 Dunn Road","Eastover",28312,"Cumberland",c(631345.124899998, 152280.499899998)
"Rockfish Elementary","5763 Rockfish Road","Hope Mills",28348,"Cumberland",c(613560.062399998, 135537.359200001)
"South View Middle","4100 Elk Road","Hope Mills",28348,"Cumberland",c(616011.978699997, 136505.2086)
"Sunnyside Elementary","3876 Sunnyside School Road","Fayetteville",28312,"Cumberland",c(628139.687600002, 141797.593600001)
"Central Elementary","504 Shortcut Road","Barco",27917,"Currituck",c(877626.728600003, 297041.7817)
"Currituck County High","4203 Caratoke Hwy","Barco",27917,"Currituck",c(881587.214599997, 295117.4769)
"Currituck County Middle","4263 Caratoke Hwy","Barco",27917,"Currituck",c(881628.4463, 294904.390299998)
"Moyock Elementary","255 Tulls Creek Road","Moyock",27958,"Currituck",c(862716.062700003, 311427.250100002)
"Knotts Island Elementary","413 Woodleigh Road","Knotts Island",27950,"Currituck",c(885529.9375, 310865.219000001)
"W T Griggs Elementary","261 Poplar Branch Road","Poplar Branch",27965,"Currituck",c(888852.937399998, 285011.781399999)
"Manteo Middle","1000 N Hwy 64","Manteo",27954,"Dare",c(909957.437399998, 244031.671999998)
