Zipcode.x,SchoolName,Zipcode_first,Address,City,Zipcode.y,County,X,Y
27587,Heritage Elementary,275,3500 Rogers Road,Wake Forest,27587,Wake,-78.51180832,35.94665031
27610,Heritage High,276,NA,NA,NA,NA,-78.511335,35.941665
27604,Heritage High,276,NA,NA,NA,NA,-78.511335,35.941665
27587,Heritage Middle,275,3400 Rogers Road,Wake Forest,27587,Wake,-78.51138853,35.94928693
27587,Heritage Middle,275,3400 Rogers Road,Wake Forest,27587,Wake,-78.51138853,35.94928693
27587,Heritage Middle,275,3400 Rogers Road,Wake Forest,27587,Wake,-78.51138853,35.94928693
27587,Heritage Middle,275,3400 Rogers Road,Wake Forest,27587,Wake,-78.51138853,35.94928693
27587,Heritage Middle,275,3400 Rogers Road,Wake Forest,27587,Wake,-78.51138853,35.94928693
27604,Heritage Middle,276,NA,NA,NA,NA,-78.51138853,35.94928693
27604,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27610,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27610,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27610,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27610,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27612,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27604,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27610,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27610,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27610,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27610,Hodge Road Elementary,276,NA,NA,NA,NA,-78.522634,35.776369
27592,Holly Grove Middle,275,1401 Avent Ferry Road,Holly Springs,27540,Wake,-78.85109102,35.63229739
27603,Holly Grove Middle,276,NA,NA,NA,NA,-78.85109102,35.63229739
27603,Holly Grove Middle,276,NA,NA,NA,NA,-78.85109102,35.63229739
27610,Holly Ridge Middle,276,NA,NA,NA,NA,-78.85109102,35.63229739
27540,Holly Ridge Middle,275,950 Holly Springs Road,Holly Springs,27540,Wake,-78.81529674,35.65470548
27502,Holly Ridge Middle,275,950 Holly Springs Road,Holly Springs,27540,Wake,-78.81529674,35.65470548
27610,Holly Ridge Middle,276,NA,NA,NA,NA,-78.81529674,35.65470548
27502,Holly Ridge Middle,275,950 Holly Springs Road,Holly Springs,27540,Wake,-78.81529674,35.65470548
27601,Hunter Elementary,276,1018 E Davie St,Raleigh,27601,Wake,-78.6228971,35.77477673
27607,Hunter Elementary,276,1018 E Davie St,Raleigh,27601,Wake,-78.6228971,35.77477673
