Zipcode.x,SchoolName,Zipcode_first,Address,City,Zipcode.y,County,X,Y
27610,Bertie High,276,NA,NA,NA,NA,-76.946064,35.998493
27610,Barwell Road Elementary,276,NA,NA,NA,NA,-78.55514199,35.73248298
27604,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27604,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27609,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27613,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27604,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27609,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27604,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27604,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27609,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27604,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27604,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27604,Brentwood Elementary,276,3426 Ingram Dr,Raleigh,27604,Wake,-78.59682841,35.83044292
27607,Brentwood Elementary,276,NA,NA,NA,NA,-78.59682841,35.83044292
27511,Briarcliff Elementary,275,1220 Pond St,Cary,27511,Wake,-78.78735934,35.76878058
27511,Briarcliff Elementary,275,1220 Pond St,Cary,27511,Wake,-78.78735934,35.76878058
27511,Briarcliff Elementary,275,1220 Pond St,Cary,27511,Wake,-78.78735934,35.76878058
27610,Briarcliff Elementary,276,NA,NA,NA,NA,-78.78735934,35.76878058
27612,Brier Creek Elementary,276,9801 Brier Creek Parkway,Raleigh,27617,Wake,-78.80520597,35.90166521
27613,Brier Creek Elementary,276,9801 Brier Creek Parkway,Raleigh,27617,Wake,-78.80520597,35.90166521
27545,Brier Creek Elementary,275,NA,NA,NA,NA,-78.80520597,35.90166521
27612,Brier Creek Elementary,276,9801 Brier Creek Parkway,Raleigh,27617,Wake,-78.80520597,35.90166521
27612,Brier Creek Elementary,276,9801 Brier Creek Parkway,Raleigh,27617,Wake,-78.80520597,35.90166521
27613,Brier Creek Elementary,276,9801 Brier Creek Parkway,Raleigh,27617,Wake,-78.80520597,35.90166521
27545,Brier Creek Elementary,275,NA,NA,NA,NA,-78.80520597,35.90166521
27612,Brier Creek Elementary,276,9801 Brier Creek Parkway,Raleigh,27617,Wake,-78.80520597,35.90166521
27612,Brier Creek Elementary,276,9801 Brier Creek Parkway,Raleigh,27617,Wake,-78.80520597,35.90166521
27511,Brier Creek Elementary,275,NA,NA,NA,NA,-78.80520597,35.90166521
27511,Brier Creek Elementary,275,NA,NA,NA,NA,-78.80520597,35.90166521
27707,Brogden Middle,277,1001 Leon Street,Durham,27704,Durham,-78.90759176,36.02526918
27707,Brogden Middle,277,1001 Leon Street,Durham,27704,Durham,-78.90759176,36.02526918
27616,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27610,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27610,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27616,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27616,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27610,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27610,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27609,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27616,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27604,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27606,Brooks Elementary,276,700 Northbrook Dr,Raleigh,27609,Wake,-78.65430329,35.84459025
27606,Bugg Elementary,276,825 Cooper Rd,Raleigh,27610,Wake,-78.58684241,35.7658582
27604,Bugg Elementary,276,825 Cooper Rd,Raleigh,27610,Wake,-78.58684241,35.7658582
27606,Bugg Elementary,276,825 Cooper Rd,Raleigh,27610,Wake,-78.58684241,35.7658582
27610,Bugg Elementary,276,825 Cooper Rd,Raleigh,27610,Wake,-78.58684241,35.7658582
27606,Bugg Elementary,276,825 Cooper Rd,Raleigh,27610,Wake,-78.58684241,35.7658582
27610,Bugg Elementary,276,825 Cooper Rd,Raleigh,27610,Wake,-78.58684241,35.7658582
27606,Bugg Elementary,276,825 Cooper Rd,Raleigh,27610,Wake,-78.58684241,35.7658582
27604,Bunn Middle,276,NA,NA,NA,NA,-78.263737,35.975016
27610,Carnage Middle,276,NA,NA,NA,NA,-78.263737,35.975016
27604,Carpenter Elementary,276,NA,NA,NA,NA,-78.86688168,35.81405691
27511,Carpenter Elementary,275,2100 Morrisville Parkway,Cary,27519,Wake,-78.86688168,35.81405691
27560,Carpenter Elementary,275,2100 Morrisville Parkway,Cary,27519,Wake,-78.86688168,35.81405691
27511,Carpenter Elementary,275,2100 Morrisville Parkway,Cary,27519,Wake,-78.86688168,35.81405691
27610,Carroll Middle,276,4520 Six Forks Rd,Raleigh,27609,Wake,-78.64245866,35.84299563
27610,Carroll Middle,276,4520 Six Forks Rd,Raleigh,27609,Wake,-78.64245866,35.84299563
27612,Carroll Middle,276,4520 Six Forks Rd,Raleigh,27609,Wake,-78.64245866,35.84299563
27610,Carroll Middle,276,4520 Six Forks Rd,Raleigh,27609,Wake,-78.64245866,35.84299563
27609,Carroll Middle,276,4520 Six Forks Rd,Raleigh,27609,Wake,-78.64245866,35.84299563
27606,Carroll Middle,276,4520 Six Forks Rd,Raleigh,27609,Wake,-78.64245866,35.84299563
27609,Carroll Middle,276,4520 Six Forks Rd,Raleigh,27609,Wake,-78.64245866,35.84299563
27609,Carroll Middle,276,4520 Six Forks Rd,Raleigh,27609,Wake,-78.64245866,35.84299563
27591,Carver Elementary,275,291 LilesDean Rd,Wendell,27591,Wake,-78.38710884,35.79143553
27591,Carver Elementary,275,291 LilesDean Rd,Wendell,27591,Wake,-78.38710884,35.79143553
27529,Cary Elementary,275,400 Kildaire Farm Road,Cary,27511,Wake,-78.78093133,35.78165225
27529,Cary Elementary,275,400 Kildaire Farm Road,Cary,27511,Wake,-78.78093133,35.78165225
27511,Cary High,275,638 Walnut St,Cary,27511,Wake,-78.76602133,35.77279257
27606,Cary High,276,NA,NA,NA,NA,-78.76602133,35.77279257
27511,Cary High,275,638 Walnut St,Cary,27511,Wake,-78.76602133,35.77279257
27513,Cary High,275,638 Walnut St,Cary,27511,Wake,-78.76602133,35.77279257
27529,Cary High,275,638 Walnut St,Cary,27511,Wake,-78.76602133,35.77279257
27511,Cary High,275,638 Walnut St,Cary,27511,Wake,-78.76602133,35.77279257
27511,Cary High,275,638 Walnut St,Cary,27511,Wake,-78.76602133,35.77279257
27511,Cary High,275,638 Walnut St,Cary,27511,Wake,-78.76602133,35.77279257
27610,Centennial Campus Middle,276,1900 Main Campus Drive,Raleigh,27606,Wake,-78.68839289,35.75841515
27610,Centennial Campus Middle,276,1900 Main Campus Drive,Raleigh,27606,Wake,-78.68839289,35.75841515
27603,Centennial Campus Middle,276,1900 Main Campus Drive,Raleigh,27606,Wake,-78.68839289,35.75841515
27609,Centennial Campus Middle,276,1900 Main Campus Drive,Raleigh,27606,Wake,-78.68839289,35.75841515
27604,Centennial Campus Middle,276,1900 Main Campus Drive,Raleigh,27606,Wake,-78.68839289,35.75841515
27601,Centennial Campus Middle,276,1900 Main Campus Drive,Raleigh,27606,Wake,-78.68839289,35.75841515
27610,Central Wake High,276,NA,NA,NA,NA,-78.612885,35.761785
27614,Central Wake High,276,NA,NA,NA,NA,-78.612885,35.761785
27614,Central Wake High,276,NA,NA,NA,NA,-78.612885,35.761785
27610,Charles B Aycock High,276,NA,NA,NA,NA,-77.979843,35.509312
27529,Cleveland High,275,1892 Polenta Rd,Clayton,27520,Johnston,-78.50002591,35.55331362
27529,Cleveland High,275,1892 Polenta Rd,Clayton,27520,Johnston,-78.50002591,35.55331362
27606,Combs Elementary,276,2001 Lorimer Rd,Raleigh,27606,Wake,-78.70199971,35.7748634
27604,Combs Elementary,276,2001 Lorimer Rd,Raleigh,27606,Wake,-78.70199971,35.7748634
27610,Combs Elementary,276,2001 Lorimer Rd,Raleigh,27606,Wake,-78.70199971,35.7748634
27604,Combs Elementary,276,2001 Lorimer Rd,Raleigh,27606,Wake,-78.70199971,35.7748634
