ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
37,NORTH CAROLINA,NC,37169,Stokes,37169070503,"Census Tract 705.03, Stokes County, North Carolina",10.702070603194,6201,537,2554,198,2460,221,380,233,194,133,30227,5864,598,291,1119,150,1248,258,862,204,108,76,650,776,0,68,16,31,305,141,0,24,49,75,0,17,6.2,3.7,6.4,4.0,30227.0,5864.0,13.5,6.1,18.0,2.7,20.1,3.8,13.9,3.2,4.4,3.1,10.5,12.5,0.0,1.2,0.6,1.2,11.9,5.5,0.0,1.0,2.0,3.0,0.0,0.3,0.1609,0.5706,0.3473,0.553,1.6318,0.3767,0.6438,0.3359,0.4896,0.1843,1.6536,0.2619,0.1502,0.0,0.1502,0.0636,0.3594,0.5873,0.0,0.215,0.0,1.1617,0.0939,4.5973,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,442,14.4,7.1,5568
37,NORTH CAROLINA,NC,37169,Stokes,37169070504,"Census Tract 705.04, Stokes County, North Carolina",15.366966550254,3472,348,1526,86,1401,107,646,270,98,67,23033,2532,326,114,496,89,760,183,527,131,136,79,115,517,2,46,10,17,372,102,22,25,32,26,4,4,18.6,7.6,5.3,3.6,23033.0,2532.0,13.8,4.6,14.3,2.8,21.9,4.8,15.2,3.9,9.7,5.6,3.3,14.9,0.1,1.4,0.7,1.2,24.4,6.6,1.6,1.8,2.3,1.9,0.1,0.1,0.6565,0.4469,0.637,0.5594,2.2998,0.5882,0.3949,0.4834,0.576,0.5954,2.0497,0.5104,0.0189,0.1705,0.1894,0.0728,0.3779,0.78,0.4664,0.2552,0.3544,2.2339,0.4355,6.7728,0.4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,221,10.6,6.1,1241
37,NORTH CAROLINA,NC,37169,Stokes,37169070600,"Census Tract 706, Stokes County, North Carolina",52.498715196608,5326,401,2471,112,2172,165,729,332,104,91,25141,2738,610,189,917,150,1023,205,585,212,160,106,283,583,0,68,0,24,786,170,9,22,0,17,0,17,13.7,6.0,3.8,3.4,25141.0,2738.0,16.0,5.1,17.2,3.0,19.2,3.6,11.0,4.0,7.4,4.8,5.3,11.0,0.0,1.3,0.0,1.0,31.8,6.6,0.4,1.0,0.0,1.6,0.0,0.3,0.473,0.2599,0.5244,0.6396,1.8969,0.46,0.5866,0.2853,0.315,0.4166,1.6035,0.2319,0.0507,0.0,0.0507,0.0267,0.0,0.8785,0.2097,0.0,0.0,1.0882,0.0809,4.6393,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,300,13.1,5.6,2804
37,NORTH CAROLINA,NC,37169,Stokes,37169070700,"Census Tract 707, Stokes County, North Carolina",42.29372504958,5204,372,2611,114,2258,174,1019,267,177,88,25645,5268,763,230,1364,209,892,119,855,181,218,82,1047,504,0,68,38,32,573,116,39,37,212,99,93,40,20.0,5.2,7.5,3.3,25645.0,5268.0,19.0,5.2,26.2,4.0,17.1,1.9,16.7,3.3,9.7,3.6,20.1,9.6,0.0,1.4,1.5,1.2,21.9,4.4,1.7,1.6,9.4,4.2,1.8,0.8,0.7032,0.6648,0.5028,0.7498,2.6206,0.7071,0.9253,0.1705,0.6762,0.5954,2.3674,0.74,0.3263,0.0,0.3263,0.1281,0.4613,0.7408,0.488,0.7855,0.7751,3.2507,0.8576,8.565,0.6872,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,617,184,12.1,3.4,4243
37,NORTH CAROLINA,NC,37171,Surry,37171930101,"Census Tract 9301.01, Surry County, North Carolina",21.184363453744,2014,313,980,45,810,73,482,219,67,45,21499,3261,481,140,309,43,370,171,371,76,50,35,440,354,84,107,11,20,481,70,48,36,44,25,0,12,23.9,9.6,7.1,4.3,21499.0,3261.0,32.9,7.5,15.3,3.2,18.4,8.0,18.5,4.5,6.2,4.3,21.8,17.3,4.4,5.5,1.1,2.0,49.1,6.4,5.9,4.4,5.4,3.1,0.0,0.6,0.7924,0.6334,0.7246,0.9797,3.1301,0.8431,0.4608,0.2295,0.7797,0.3207,1.7907,0.339,0.3553,0.8286,1.1839,0.6309,0.423,0.9815,0.9111,0.5779,0.0,2.8935,0.7258,8.9982,0.7399,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,430,206,21.5,7.9,964
37,NORTH CAROLINA,NC,37171,Surry,37171930102,"Census Tract 9301.02, Surry County, North Carolina",37.019664780162,4634,426,2071,91,1768,104,619,418,109,72,21271,2452,688,175,757,80,1025,264,697,168,59,34,736,555,101,92,0,17,840,119,16,20,54,39,5,3,13.4,8.3,5.4,3.4,21271.0,2452.0,21.3,5.3,16.3,2.3,22.1,5.3,15.0,3.6,3.3,2.0,15.9,11.9,2.3,2.1,0.0,0.8,40.6,5.5,0.9,1.2,3.1,2.2,0.1,0.1,0.4582,0.4571,0.738,0.8221,2.4754,0.6511,0.5336,0.4986,0.5635,0.1212,1.7169,0.3007,0.2507,0.6567,0.9074,0.4521,0.0,0.9496,0.3221,0.3481,0.3544,1.9742,0.3125,7.0739,0.4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,616,265,13.3,5.3,2381
37,NORTH CAROLINA,NC,37171,Surry,37171930201,"Census Tract 9302.01, Surry County, North Carolina",14.666042770984,3082,355,1581,84,1334,122,512,209,62,41,17171,2191,545,129,640,120,680,232,676,139,25,23,407,464,8,48,12,21,616,125,0,17,101,69,0,12,16.9,6.3,4.8,3.0,17171.0,2191.0,25.4,5.9,20.8,4.8,22.1,7.1,21.9,4.8,1.9,1.7,13.2,15.0,0.3,1.6,0.8,1.4,39.0,6.9,0.0,1.3,7.6,5.0,0.0,0.4,0.595,0.3781,0.8976,0.9175,2.7882,0.752,0.7972,0.4986,0.9145,0.0571,2.2674,0.6697,0.2074,0.224,0.4314,0.1774,0.3912,0.9372,0.0,0.7166,0.0,2.045,0.3393,7.532,0.5423,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3,515,297,16.7,8.7,2163
37,NORTH CAROLINA,NC,37171,Surry,37171930202,"Census Tract 9302.02, Surry County, North Carolina",11.680190521834,3170,301,1528,86,1380,111,615,323,10,15,20935,3288,620,187,791,167,541,184,561,133,92,62,582,465,161,133,0,17,452,136,11,20,122,80,0,12,19.4,9.7,0.7,1.2,20935.0,3288.0,27.2,7.7,25.0,6.4,17.1,5.6,17.7,4.6,6.7,4.5,18.4,14.6,5.4,4.5,0.0,1.1,29.6,8.7,0.8,1.5,8.8,5.7,0.0,0.4,0.6847,0.0106,0.7509,0.9456,2.3918,0.6205,0.9074,0.1705,0.7312,0.3594,2.1685,0.5995,0.2968,0.882,1.1788,0.6281,0.0,0.8494,0.3,0.7638,0.0,1.9132,0.2908,7.6523,0.5613,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,345,169,10.9,5.1,3666
37,NORTH CAROLINA,NC,37171,Surry,37171930301,"Census Tract 9303.01, Surry County, North Carolina",6.1483847735,2153,207,1036,76,936,78,276,144,60,43,37782,6368,235,90,638,73,356,103,452,93,17,28,741,282,48,62,55,38,133,69,3,13,82,44,0,12,12.8,6.5,7.4,4.8,37782.0,6368.0,14.7,5.3,29.6,4.1,16.5,4.5,21.0,4.0,1.8,3.1,34.4,12.7,2.3,2.9,5.3,3.7,12.8,6.5,0.3,1.5,8.8,4.4,0.0,0.6,0.4318,0.6588,0.1946,0.5945,1.8797,0.4549,0.953,0.1452,0.8882,0.0502,2.0366,0.5016,0.5488,0.6567,1.2055,0.6479,0.6359,0.6058,0.2,0.7638,0.0,2.2055,0.4193,7.3273,0.5123,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,178,94,8.3,4.0,2272
37,NORTH CAROLINA,NC,37171,Surry,37171930302,"Census Tract 9303.02, Surry County, North Carolina",2.32540740356,3523,284,1894,117,1623,134,752,241,53,35,24287,3646,530,170,781,118,744,181,896,222,229,94,634,437,157,141,150,73,64,58,4,15,175,80,8,4,21.7,6.7,3.4,2.3,24287.0,3646.0,20.0,6.2,22.2,3.3,21.1,4.8,25.4,5.8,14.1,5.7,18.0,12.3,4.6,4.2,7.9,3.8,3.4,3.1,0.2,0.9,10.8,4.8,0.2,0.1,0.7434,0.2119,0.566,0.782,2.3033,0.59,0.8475,0.4249,0.9783,0.8217,3.0724,0.9797,0.2912,0.8433,1.1345,0.5995,0.6991,0.4127,0.1917,0.8234,0.4452,2.5721,0.5839,9.0823,0.7506,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,602,186,17.1,5.2,5304
